Tao;Autokovarinz;Autokorrelation;
0;0,00;1,00;
1;0,00;0,2337;
2;0,00;0,1783;
3;0,00;0,0509;
4;0,00;0,0613;
5;0,00;0,0195;
6;0,00;0,0076;
7;-0,00;-0,0194;
8;-0,00;-0,0127;
9;-0,00;-0,0653;
10;-0,00;-0,0619;
11;-0,00;-0,0823;
12;-0,00;-0,075;
13;-0,00;-0,0483;
14;-0,00;-0,0288;
15;0,00;0,0309;
16;-0,00;-0,0529;
17;-0,00;-0,0068;
18;0,00;0,0327;
19;0,00;0,0816;
20;0,00;0,107;
21;0,00;0,1208;
22;0,00;0,0908;
23;0,00;0,086;
24;-0,00;-0,0493;
25;0,00;0,0409;
26;-0,00;-0,0267;
27;0,00;0,0141;
28;0,00;0,0051;
29;-0,00;-0,022;
30;-0,00;-0,1012;
31;-0,00;-0,0766;
32;-0,00;-0,0081;
33;0,00;0,0331;
34;-0,00;-0,0381;
35;0,00;0,0359;
36;-0,00;-0,0376;
37;-0,00;-0,0423;
38;-0,00;-0,0544;
39;-0,00;-0,0468;
40;0,00;0,0209;
41;-0,00;-0,0251;
42;-0,00;-0,0336;
43;-0,00;-0,0235;
44;-0,00;-0,0348;
45;0,00;0,0152;
46;-0,00;-0,0619;
47;-0,00;-0,0432;
48;0,00;0,0107;
49;-0,00;-0,0041;
50;-0,00;-0,0022;
51;-0,00;-0,0218;
52;0,00;0,0085;
53;0,00;0,0373;
54;0,00;0,0743;
55;0,00;0,0492;
56;0,00;0,01;
57;0,00;0,0026;
58;0,00;0,0034;
59;0,00;0,0185;
60;0,00;0,0161;
61;-0,00;-0,0182;
62;-0,00;-0,0438;
63;-0,00;-0,0182;
64;-0,00;-0,0632;
65;-0,00;-0,0746;
66;-0,00;-0,0507;
67;-0,00;-0,0443;
68;-0,00;-0,0173;
69;-0,00;-0,035;
70;-0,00;-0,0567;
71;-0,00;-0,0109;
72;0,00;0,0111;
73;0,00;0,0131;
74;0,00;0,0083;
75;0,00;0,0279;
76;0,00;0,0242;
77;0,00;0,034;
78;0,00;0,0775;
79;0,00;0,0811;
80;0,00;0,0663;
81;0,00;0,0502;
82;0,00;0,0373;
83;-0,00;-0,0102;
84;0,00;0,0058;
85;-0,00;-0,0073;
86;-0,00;-0,01;
87;-0,00;-0,0013;
88;-0,00;-0,004;
89;-0,00;-0,0084;
90;0,00;0,0328;
91;-0,00;-0,0396;
92;-0,00;-0,0463;
93;-0,00;-0,0796;
94;-0,00;-0,0397;
95;-0,00;-0,0245;
96;0,00;0,0456;
97;-0,00;-0,0021;
98;-0,00;-0,0397;
99;0,00;0,0195;
100;0,00;0,0298;
101;0,00;0,003;
102;-0,00;-0,0057;
103;0,00;0,1041;
104;0,00;0,094;
105;0,00;0,057;
106;0,00;0,012;
107;0,00;0,0345;
108;0,00;0,0305;
109;0,00;0,0032;
110;0,00;0,0338;
111;0,00;0,1097;
112;0,00;0,0638;
113;-0,00;-0,0092;
114;-0,00;-0,0185;
115;-0,00;-0,022;
116;-0,00;-0,0122;
117;-0,00;-0,0391;
118;0,00;0,0191;
119;-0,00;-0,0512;
120;-0,00;-0,0256;
121;-0,00;-0,091;
122;0,00;0,013;
123;0,00;0,1051;
124;-0,00;-0,0315;
125;0,00;0,0708;
126;-0,00;-0,0102;
127;-0,00;-0,0271;
128;-0,00;-0,0343;
129;0,00;0,0255;
130;0,00;0,0179;
131;0,00;0,0446;
132;0,00;0,0519;
133;0,00;0,0684;
134;0,00;0,0492;
135;-0,00;-0,0255;
136;-0,00;-0,028;
137;-0,00;-0,0419;
138;-0,00;-0,0078;
139;-0,00;-0,0096;
140;-0,00;-0,0201;
141;-0,00;-0,0987;
142;-0,00;-0,1166;
143;-0,00;-0,051;
144;-0,00;-0,0371;
145;-0,00;-0,0116;
146;-0,00;-0,0798;
147;-0,00;-0,0613;
148;-0,00;-0,0136;
149;-0,00;-0,0774;
