Handeltag;Innererwert;
1;1084;
2;1079;
3;1089;
4;1094;
5;1086;
6;1086;
7;1092;
8;1099;
9;1091;
10;1095;
11;1088;
12;1090;
13;1079;
14;1076;
15;1071;
16;1070;
17;1078;
18;1071;
19;1074;
20;1073;
21;1063;
22;1071;
23;1062;
24;1060;
25;1059;
26;1057;
27;1059;
28;1057;
29;1059;
30;1063;
31;1065;
32;1069;
33;1072;
34;1074;
35;1079;
36;1085;
37;1085;
38;1096;
39;1105;
40;1098;
41;1105;
42;1103;
43;1102;
44;1109;
45;1121;
46;1117;
47;1124;
48;1123;
49;1117;
50;1106;
51;1108;
52;1112;
53;1119;
54;1117;
55;1128;
56;1122;
57;1113;
58;1116;
59;1122;
60;1113;
61;1108;
62;1100;
63;1102;
64;1106;
65;1103;
66;1105;
67;1096;
68;1102;
69;1103;
70;1112;
71;1120;
72;1111;
73;1110;
74;1120;
75;1119;
76;1117;
77;1119;
78;1128;
79;1120;
80;1118;
81;1109;
82;1119;
83;1121;
84;1119;
85;1120;
86;1110;
87;1116;
88;1105;
89;1096;
90;1091;
91;1081;
92;1080;
93;1071;
94;1071;
95;1082;
96;1083;
97;1082;
98;1077;
99;1072;
100;1074;
101;1064;
102;1054;
103;1064;
104;1055;
105;1054;
106;1062;
107;1060;
108;1050;
109;1042;
110;1044;
111;1044;
112;1052;
113;1046;
114;1044;
115;1047;
116;1043;
117;1034;
118;1041;
119;1052;
120;1059;
121;1059;
122;1070;
123;1073;
124;1082;
125;1085;
126;1092;
127;1090;
128;1096;
129;1092;
130;1083;
131;1079;
132;1078;
133;1072;
134;1061;
135;1055;
136;1066;
137;1057;
138;1067;
139;1061;
140;1058;
141;1050;
142;1039;
143;1050;
144;1042;
145;1038;
146;1029;
147;1029;
148;1027;
149;1023;
150;1014;
151;1008;
152;1008;
153;1017;
154;1021;
155;1016;
156;1014;
157;1024;
158;1019;
159;1016;
160;1021;
161;1026;
162;1017;
163;1028;
164;1029;
165;1023;
166;1023;
167;1019;
168;1022;
169;1031;
170;1032;
171;1027;
172;1026;
173;1024;
174;1034;
175;1033;
176;1025;
177;1016;
178;1012;
179;1008;
180;1006;
181;996;
182;990;
183;995;
184;999;
185;1005;
186;1001;
187;992;
188;994;
189;996;
190;990;
191;984;
192;985;
193;979;
194;977;
195;987;
196;991;
197;989;
198;979;
199;977;
200;977;
201;969;
202;970;
203;964;
204;964;
205;964;
206;972;
207;974;
208;967;
209;968;
210;969;
211;965;
212;971;
213;979;
214;978;
215;988;
216;992;
217;1002;
218;1012;
219;1019;
220;1011;
221;1005;
222;1011;
223;1006;
224;1011;
225;1018;
226;1015;
227;1017;
228;1018;
229;1020;
230;1019;
231;1011;
232;1003;
233;1003;
234;1005;
235;1013;
236;1007;
237;1017;
238;1012;
239;1005;
240;995;
241;988;
242;986;
243;990;
244;992;
245;988;
246;996;
247;992;
248;993;
249;987;
250;979;
251;971;
252;972;
253;974;
254;975;
255;969;
256;962;
257;967;
258;967;
259;970;
260;974;
261;982;
262;992;
263;997;
264;987;
265;995;
266;1005;
267;1013;
268;1018;
269;1012;
270;1021;
271;1017;
272;1023;
273;1021;
274;1016;
275;1024;
276;1018;
277;1012;
278;1014;
279;1015;
280;1026;
281;1015;
282;1011;
283;1006;
284;1006;
285;1010;
286;1021;
287;1021;
288;1021;
289;1014;
290;1008;
291;1009;
292;1007;
293;1001;
294;994;
295;1000;
296;1002;
297;1009;
298;1003;
299;994;
300;998;
301;1000;
